Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
1989/09/20,04:00,1.617,1.615,-,-
1989/09/20,05:00,1.527,1.515,-,-
1989/09/20,06:00,1.312,1.32,-,-
1989/09/20,07:00,1.058,1.152,-,-
1989/09/20,08:00,0.834,0.939,-,-
1989/09/20,09:00,0.679,0.759,-,-
1989/09/20,10:00,0.631,0.71,-,-
1989/09/20,11:00,0.715,0.741,-,-
1989/09/20,12:00,0.915,0.92,-,-
1989/09/20,13:00,1.184,1.116,-,-
1989/09/20,14:00,1.463,1.369,-,-
1989/09/20,15:00,1.693,1.597,-,-
1989/09/20,16:00,1.832,1.734,-,-
1989/09/20,17:00,1.838,1.728,-,-
1989/09/20,18:00,1.699,1.591,-,-
1989/09/20,19:00,1.474,1.372,-,-
1989/09/20,20:00,1.237,1.158,-,-
1989/09/20,21:00,1.02,0.945,-,-
1989/09/20,22:00,0.854,0.814,-,-
1989/09/20,23:00,0.784,0.771,-,-
1989/09/21,00:00,0.83,0.786,-,-
1989/09/21,01:00,0.976,0.908,-,-
1989/09/21,02:00,1.178,1.094,-,-
1989/09/21,03:00,1.378,1.308,-,-
1989/09/21,04:00,1.523,1.466,-,-
1989/09/21,05:00,1.565,1.497,-,-
1989/09/21,06:00,1.469,1.381,-,-
1989/09/21,07:00,1.271,1.192,-,-
1989/09/21,08:00,1.055,1.018,-,-
1989/09/21,09:00,0.868,0.856,-,-
1989/09/21,10:00,0.732,0.725,-,-
1989/09/21,11:00,0.686,0.686,-,-
1989/09/21,12:00,0.757,0.756,-,-
1989/09/21,13:00,0.935,0.914,-,-
1989/09/21,14:00,1.181,1.134,-,-
1989/09/21,15:00,1.439,1.372,-,-
1989/09/21,16:00,1.654,1.57,-,-
1989/09/21,17:00,1.783,1.713,-,-
1989/09/21,18:00,1.783,1.728,-,-
1989/09/21,19:00,1.657,1.643,-,-
1989/09/21,20:00,1.468,1.478,-,-
1989/09/21,21:00,1.269,1.326,-,-
1989/09/21,22:00,1.071,1.219,-,-
1989/09/21,23:00,0.905,1.131,-,-
1989/09/22,00:00,0.825,1.076,-,-
1989/09/22,01:00,0.854,1.097,-,-
1989/09/22,02:00,0.982,1.219,-,-
1989/09/22,03:00,1.168,1.42,-,-
1989/09/22,04:00,1.355,1.625,-,-
1989/09/22,05:00,1.49,1.75,-,-
1989/09/22,06:00,1.524,1.792,-,-
1989/09/22,07:00,1.434,1.74,-,-
1989/09/22,08:00,1.265,1.551,-,-
1989/09/22,09:00,1.085,1.359,-,-
1989/09/22,10:00,0.919,1.186,-,-
1989/09/22,11:00,0.783,0.969,-,-
1989/09/22,12:00,0.727,0.96,-,-
1989/09/22,13:00,0.781,1.03,-,-
1989/09/22,14:00,0.94,1.061,-,-
1989/09/22,15:00,1.168,1.122,-,-
1989/09/22,16:00,1.409,1.314,-,-
1989/09/22,17:00,1.611,1.533,-,-
1989/09/22,18:00,1.729,1.713,-,-
1989/09/22,19:00,1.732,1.622,-,-
1989/09/22,20:00,1.63,1.558,-,-
1989/09/22,21:00,1.476,1.411,-,-
1989/09/22,22:00,1.299,1.225,-,-
1989/09/22,23:00,1.103,1.018,-,-
1989/09/23,00:00,0.931,0.911,-,-
1989/09/23,01:00,0.842,0.878,-,-
1989/09/23,02:00,0.862,0.835,-,-
1989/09/23,03:00,0.983,0.863,-,-
1989/09/23,04:00,1.162,1.049,-,-
