Full Name,ID,Location,Original Latitude (Degrees),Original Latitude (Minutes),Latitude,Original Longitude (Degrees),Original Longitude (Minutes),Longitude
"8747437 Bay Waveland Yacht Club, MS",8747437,"Bay Waveland Yacht Club, MS",30,19.6,30.21422079,89,19.5,-89.30357244
"8741533 Pascagoula NOAA Lab, MS",8741533,"Pascagoula NOAA Lab, MS",30,22.1,30.3278345,88,33.8,-88.55421872
"8739803 Bayou La Batre Bridge, AL",8739803,"Bayou La Batre Bridge, AL",30,24.4,30.31587042,88,14.9,-88.32339676
"8736897 Coast Guard Sector Mobile, AL",8736897,"Coast Guard Sector Mobile, AL",30,39,30.611055,88,3.5,-87.986482
"8761305 Shell Beach, LA",8761305,"Shell Beach, LA",29,52.1,29.917236,89,40.4,-89.660299
"8761724 Grand Isle, LA",8761724,"Grand Isle, LA",29,15.8,29.260118,89,57.4,-89.915244
"8760922 Pilots Station East, S.W. Pass, LA",8760922,"Pilots Station East, S.W. Pass, LA",28,55.9,28.957063,89,24.4,-89.526115
"8732828 Weeks Bay, Mobile Bay",8732828,"Weeks Bay, Mobile Bay",30,25,30.336118,87,49.5,-87.95596
"8761927 New Canal Station, LA",8761927,"New Canal Station, LA",30,1.6,30.132498,90,6.8,-90.082774
"8737048 Mobile State Docks, AL",8737048,"Mobile State Docks, AL",30,42.3,30.650837,88,2.4,-88.02419
"8735391 Dog River Bridge, AL",8735391,"Dog River Bridge, AL",30,33.9,30.566916,88,5.3,-88.006058
